shapeid,x,y,PROV_NA_EN,DIST_NA_EN,color1
12,69.80697909,33.50993869,Khost,Sabari,
12,69.76432675,33.55746956,Khost,Sabari,
12,69.79652508,33.59663723,Khost,Sabari,
12,69.7880149,33.61206101,Khost,Sabari,
12,69.80154301,33.61782401,Khost,Sabari,
12,69.82063899,33.59217685,Khost,Sabari,
12,69.84391657,33.5927344,Khost,Sabari,
12,69.85102529,33.60946081,Khost,Sabari,
12,69.83471704,33.62688415,Khost,Sabari,
12,69.83332318,33.64138036,Khost,Sabari,
12,69.84754062,33.65490087,Khost,Sabari,
12,69.88698706,33.65531904,Khost,Sabari,
12,69.90753997,33.67482897,Khost,Sabari,
13,69.94994815,33.68637213,Paktya,Dand Wa Patan,
13,69.94148727,33.68919001,Paktya,Dand Wa Patan,
13,69.91486441,33.67413624,Paktya,Dand Wa Patan,
13,69.90244248,33.68433075,Paktya,Dand Wa Patan,
13,69.86955659,33.68759973,Paktya,Dand Wa Patan,
13,69.88569072,33.71096484,Paktya,Dand Wa Patan,
13,69.88484711,33.72868073,Paktya,Dand Wa Patan,
13,69.86438955,33.75982602,Paktya,Dand Wa Patan,
13,69.88116891,33.77179365,Paktya,Dand Wa Patan,
13,69.8936448,33.82437063,Paktya,Dand Wa Patan,
13,69.88243678,33.84027877,Paktya,Dand Wa Patan,
13,69.82338382,33.86582822,Paktya,Dand Wa Patan,
13,69.8195273,33.87836191,Paktya,Dand Wa Patan,
13,69.83001222,33.88462875,Paktya,Dand Wa Patan,
13,69.82965067,33.90126,Paktya,Dand Wa Patan,
13,69.85158462,33.92451963,Paktya,Dand Wa Patan,
13,69.88127477,33.91867884,Paktya,Dand Wa Patan,
13,69.90882125,33.89815058,Paktya,Dand Wa Patan,
13,69.91588806,33.88575116,Paktya,Dand Wa Patan,
13,69.91595643,33.85036825,Paktya,Dand Wa Patan,
13,69.95555085,33.82364056,Paktya,Dand Wa Patan,
13,69.96588058,33.79656371,Paktya,Dand Wa Patan,
13,69.96520089,33.76632516,Paktya,Dand Wa Patan,
13,70.01101711,33.72776481,Paktya,Dand Wa Patan,
13,69.97963497,33.71531979,Paktya,Dand Wa Patan,
13,69.97368995,33.70194348,Paktya,Dand Wa Patan,
13,69.94994815,33.68637213,Paktya,Dand Wa Patan,
14,69.28195442,33.43225704,Paktya,Shawak,
14,69.29436351,33.45880153,Paktya,Shawak,
14,69.33237106,33.47042884,Paktya,Shawak,
14,69.35825121,33.4883074,Paktya,Shawak,
14,69.38250603,33.49105794,Paktya,Shawak,
14,69.39729174,33.52368886,Paktya,Shawak,
14,69.42229986,33.49918342,Paktya,Shawak,
14,69.45792413,33.49612686,Paktya,Shawak,
14,69.45308274,33.48513591,Paktya,Shawak,
14,69.4099843,33.45545063,Paktya,Shawak,
14,69.40571156,33.43320724,Paktya,Shawak,
14,69.41865546,33.43446393,Paktya,Shawak,
14,69.41973446,33.4273506,Paktya,Shawak,
14,69.40604605,33.40392413,Paktya,Shawak,
14,69.38124155,33.39060319,Paktya,Shawak,
14,69.33576663,33.4156833,Paktya,Shawak,
14,69.28195442,33.43225704,Paktya,Shawak,
15,69.29376368,33.45771094,Paktya,Zurmat,
15,69.28136092,33.43317144,Paktya,Zurmat,
15,69.2862062,33.40975946,Paktya,Zurmat,
15,69.25894657,33.36774858,Paktya,Zurmat,
15,69.26722798,33.32927455,Paktya,Zurmat,
15,69.25799766,33.31391945,Paktya,Zurmat,
15,69.23869757,33.30326558,Paktya,Zurmat,
15,69.23893317,33.29157691,Paktya,Zurmat,
15,69.20726312,33.27307023,Paktya,Zurmat,
15,69.20958252,33.2592444,Paktya,Zurmat,
15,69.19863601,33.23984245,Paktya,Zurmat,
15,69.18468635,33.24137744,Paktya,Zurmat,
15,69.14353916,33.22030205,Paktya,Zurmat,
15,69.10088658,33.21114429,Paktya,Zurmat,
15,69.08370011,33.19144884,Paktya,Zurmat,
15,69.07278607,33.19445961,Paktya,Zurmat,
15,69.01708682,33.15168159,Paktya,Zurmat,
15,68.99237342,33.17162794,Paktya,Zurmat,
15,68.9681689,33.17932102,Paktya,Zurmat,
15,68.98559359,33.21676442,Paktya,Zurmat,
15,68.98710724,33.28391549,Paktya,Zurmat,
15,68.97472282,33.34569997,Paktya,Zurmat,
15,68.94596345,33.36207492,Paktya,Zurmat,
15,68.9532565,33.37844987,Paktya,Zurmat,
15,68.94761471,33.40858529,Paktya,Zurmat,
15,68.91280073,33.41587833,Paktya,Zurmat,
15,68.88142688,33.39730171,Paktya,Zurmat,
15,68.84536256,33.41977699,Paktya,Zurmat,
15,68.82706972,33.41539908,Paktya,Zurmat,
15,68.79967416,33.48862618,Paktya,Zurmat,
15,68.77503529,33.52222464,Paktya,Zurmat,
15,68.77876845,33.56142284,Paktya,Zurmat,
15,68.76663568,33.60491418,Paktya,Zurmat,
15,68.7870179,33.62097565,Paktya,Zurmat,
15,68.8378027,33.60584281,Paktya,Zurmat,
15,68.91051729,33.62431001,Paktya,Zurmat,
15,68.93475549,33.62071916,Paktya,Zurmat,
15,68.95399215,33.60225197,Paktya,Zurmat,
15,68.98682272,33.59532677,Paktya,Zurmat,
15,69.02529605,33.61122908,Paktya,Zurmat,
15,69.02688904,33.61999306,Paktya,Zurmat,
15,69.0336127,33.61114867,Paktya,Zurmat,
15,69.07509176,33.6054979,Paktya,Zurmat,
15,69.09601163,33.5881849,Paktya,Zurmat,
15,69.11741242,33.52542529,Paktya,Zurmat,
15,69.1267903,33.51761039,Paktya,Zurmat,
15,69.16189721,33.51171916,Paktya,Zurmat,
15,69.20337627,33.5279501,Paktya,Zurmat,
15,69.23030759,33.52025543,Paktya,Zurmat,
15,69.25892213,33.50558747,Paktya,Zurmat,
15,69.26204809,33.49128021,Paktya,Zurmat,
15,69.27671605,33.48346531,Paktya,Zurmat,
15,69.28308819,33.46302636,Paktya,Zurmat,
15,69.29376368,33.45771094,Paktya,Zurmat,
16,69.19863601,33.23984245,Paktika,Naka,
16,69.20958252,33.2592444,Paktika,Naka,
16,69.20726312,33.27307023,Paktika,Naka,
16,69.22795264,33.28857696,Paktika,Naka,
16,69.25661505,33.26750778,Paktika,Naka,
16,69.26963354,33.24324604,Paktika,Naka,
16,69.31549018,33.2446994,Paktika,Naka,
16,69.27347162,33.16013693,Paktika,Naka,
16,69.24596355,33.13732284,Paktika,Naka,
16,69.18120941,33.14942261,Paktika,Naka,
16,69.19470152,33.19257751,Paktika,Naka,
16,69.18726102,33.20666486,Paktika,Naka,
16,69.20204281,33.22382761,Paktika,Naka,
16,69.19460231,33.23126811,Paktika,Naka,
16,69.19863601,33.23984245,Paktika,Naka,
17,69.90489505,34.03895014,Logar,Azra,
17,69.89790151,34.02775729,Logar,Azra,
17,69.84867393,34.07749978,Logar,Azra,
17,69.80847151,34.0856108,Logar,Azra,
17,69.78114091,34.05616429,Logar,Azra,
17,69.78025928,34.03465246,Logar,Azra,
17,69.74799154,34.03694471,Logar,Azra,
17,69.73882257,34.02160431,Logar,Azra,
17,69.71836871,34.01895941,Logar,Azra,
17,69.71343157,34.00626391,Logar,Azra,
17,69.69438831,34.01737247,Logar,Azra,
17,69.6989728,34.02848104,Logar,Azra,
17,69.69227239,34.04311613,Logar,Azra,
17,69.66123894,34.04629001,Logar,Azra,
17,69.63655324,34.06744918,Logar,Azra,
17,69.61363081,34.05898551,Logar,Azra,
17,69.55667737,34.05810388,Logar,Azra,
17,69.53128637,34.04523205,Logar,Azra,
17,69.49778435,34.04205817,Logar,Azra,
17,69.49443415,33.98916024,Logar,Azra,
17,69.46163743,33.95142639,Logar,Azra,
17,69.44252806,33.95155863,Logar,Azra,
17,69.40758399,33.92751471,Logar,Azra,
17,69.40125491,33.93698723,Logar,Azra,
17,69.40871179,33.95023707,Logar,Azra,
17,69.39065504,33.95670792,Logar,Azra,
17,69.38708066,33.96638338,Logar,Azra,
17,69.40722247,34.00126435,Logar,Azra,
17,69.39522572,34.02303927,Logar,Azra,
17,69.40064891,34.03659725,Logar,Azra,
17,69.38290029,34.04538939,Logar,Azra,
17,69.40648295,34.0955128,Logar,Azra,
