X,Y,Shape_Leng,Shape_Area,ADM2_EN,ADM2_DA,ADM2_PCODE,ADM2_REF,ADM2ALT1EN,ADM2ALT2EN,ADM2ALT1DA,ADM2ALT2DA,ADM1_EN,ADM1_DA,ADM1_PCODE,ADM0_EN,ADM0_DA,ADM0_PCODE,date,validOn,ValidTo,REG_EN,REG_DA,REG_PCODE
69.30657531,34.68023828,1.017384384,0.045426035,Deh Sabz,ده سبز,AF0105,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
69.3680326,35.75544941,1.041929475,0.045187429,Deh Salah,ده صلاح,AF0908,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
68.650232,33.46128079,1.158229693,0.070240189,Deh Yak,ده یک,AF1105,,,,,,Ghazni,غزنی,AF11,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
66.99410969,36.64950636,0.743410952,0.026070665,Dehdadi,دهدادی,AF2103,,,,,,Balkh,بلخ,AF21,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Northern,سهیلی حوزه,NR
65.42963827,32.56243012,2.426042844,0.154181631,Dehrawud,دهراود,AF2502,,,,,,Uruzgan,ارزگان,AF25,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Southern,جنوبی حوزه,SR
68.15665752,32.54150414,2.080384433,0.147134512,Dila,دیله,AF1216,,,,,,Paktika,پکتیکا,AF12,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,South Eastern,جنوب ختیځه حوزه,SE
65.13894895,34.12465813,4.563877652,0.455990768,DoLayna,دو لینه,AF2302,,,,,,Ghor,غور,AF23,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
68.58133408,35.65132288,2.729760094,0.193402845,Doshi,دوشی,AF0903,,,,,,Baghlan,بغلان,AF09,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
70.40679957,35.2242294,1.311521851,0.055883133,Duab,دو آب,AF1605,,,,,,Nuristan,نورستان,AF16,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
70.97444378,34.09369626,0.787307716,0.027306122,Dur Baba,دُر بابا,AF0622,,,,,,Nangarhar,ننگرهار,AF06,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Eastern,ختیځه حوزه,ER
71.44137946,36.87977991,2.543728581,0.11456831,Eshkashem,اشکاشم,AF1723,,,,,,Badakhshan,بدخشان,AF17,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
69.43884314,36.37965867,1.572843869,0.080269646,Eshkmesh,اشکمش,AF1811,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
69.02163707,34.85353153,0.519350045,0.010793372,Estalef,استالف,AF0113,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
62.26506103,32.29459245,3.870752484,0.326498459,Farah,فراه,AF3301,,Centre,,,,Farah,فراه,AF33,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
69.95753922,36.48259255,1.85102786,0.12630563,Farkhar,فرخار,AF1808,,,,,,Takhar,تخار,AF18,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,North Eastern,سهیل ختیځه حوزه,NE
63.3107073,33.85886132,2.477213877,0.197520963,Farsi,فرسی,AF3215,,,,,,Hirat,هرات,AF32,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Western,لویدیځه حوزه,WR
69.0154744,34.79046243,0.502622659,0.00883464,Farza,فرزه,AF0112,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,8/23/2017,5/22/2018,,Capital,مرکزی حوزه,CR
